TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
23,1 2 3 4 5 6 7 8,1,23,CPLD,/run/devmap/xcvrs/xcvr_ctrl_23/xcvr_reset_23,1,0,/run/devmap/xcvrs/xcvr_ctrl_23/xcvr_present_23,1,0,23,I2C,/run/devmap/xcvrs/xcvr_io_23,,,,
24,1 2 3 4 5 6 7 8,1,24,CPLD,/run/devmap/xcvrs/xcvr_ctrl_24/xcvr_reset_24,1,0,/run/devmap/xcvrs/xcvr_ctrl_24/xcvr_present_24,1,0,24,I2C,/run/devmap/xcvrs/xcvr_io_24,,,,
25,1 2 3 4 5 6 7 8,1,25,CPLD,/run/devmap/xcvrs/xcvr_ctrl_25/xcvr_reset_25,1,0,/run/devmap/xcvrs/xcvr_ctrl_25/xcvr_present_25,1,0,25,I2C,/run/devmap/xcvrs/xcvr_io_25,,,,
26,1 2 3 4 5 6 7 8,1,26,CPLD,/run/devmap/xcvrs/xcvr_ctrl_26/xcvr_reset_26,1,0,/run/devmap/xcvrs/xcvr_ctrl_26/xcvr_present_26,1,0,26,I2C,/run/devmap/xcvrs/xcvr_io_26,,,,
27,1 2 3 4 5 6 7 8,1,27,CPLD,/run/devmap/xcvrs/xcvr_ctrl_27/xcvr_reset_27,1,0,/run/devmap/xcvrs/xcvr_ctrl_27/xcvr_present_27,1,0,27,I2C,/run/devmap/xcvrs/xcvr_io_27,,,,
28,1 2 3 4 5 6 7 8,1,28,CPLD,/run/devmap/xcvrs/xcvr_ctrl_28/xcvr_reset_28,1,0,/run/devmap/xcvrs/xcvr_ctrl_28/xcvr_present_28,1,0,28,I2C,/run/devmap/xcvrs/xcvr_io_28,,,,
29,1 2 3 4 5 6 7 8,1,29,CPLD,/run/devmap/xcvrs/xcvr_ctrl_29/xcvr_reset_29,1,0,/run/devmap/xcvrs/xcvr_ctrl_29/xcvr_present_29,1,0,29,I2C,/run/devmap/xcvrs/xcvr_io_29,,,,
30,1 2 3 4 5 6 7 8,1,30,CPLD,/run/devmap/xcvrs/xcvr_ctrl_30/xcvr_reset_30,1,0,/run/devmap/xcvrs/xcvr_ctrl_30/xcvr_present_30,1,0,30,I2C,/run/devmap/xcvrs/xcvr_io_30,,,,
31,1 2 3 4 5 6 7 8,1,31,CPLD,/run/devmap/xcvrs/xcvr_ctrl_31/xcvr_reset_31,1,0,/run/devmap/xcvrs/xcvr_ctrl_31/xcvr_present_31,1,0,31,I2C,/run/devmap/xcvrs/xcvr_io_31,,,,
32,1 2 3 4 5 6 7 8,1,32,CPLD,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr_reset_32,1,0,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr_present_32,1,0,32,I2C,/run/devmap/xcvrs/xcvr_io_32,,,,
33,1 2 3 4 5 6 7 8,1,33,CPLD,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr_reset_33,1,0,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr_present_33,1,0,33,I2C,/run/devmap/xcvrs/xcvr_io_33,,,,
34,1 2 3 4 5 6 7 8,1,34,CPLD,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr_reset_34,1,0,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr_present_34,1,0,34,I2C,/run/devmap/xcvrs/xcvr_io_34,,,,
35,1 2 3 4 5 6 7 8,1,35,CPLD,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr_reset_35,1,0,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr_present_35,1,0,35,I2C,/run/devmap/xcvrs/xcvr_io_35,,,,
36,1 2 3 4 5 6 7 8,1,36,CPLD,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr_reset_36,1,0,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr_present_36,1,0,36,I2C,/run/devmap/xcvrs/xcvr_io_36,,,,
37,1 2 3 4 5 6 7 8,1,37,CPLD,/run/devmap/xcvrs/xcvr_ctrl_37/xcvr_reset_37,1,0,/run/devmap/xcvrs/xcvr_ctrl_37/xcvr_present_37,1,0,37,I2C,/run/devmap/xcvrs/xcvr_io_37,,,,
38,1 2 3 4 5 6 7 8,1,38,CPLD,/run/devmap/xcvrs/xcvr_ctrl_38/xcvr_reset_38,1,0,/run/devmap/xcvrs/xcvr_ctrl_38/xcvr_present_38,1,0,38,I2C,/run/devmap/xcvrs/xcvr_io_38,,,,
39,1 2 3 4 5 6 7 8,1,39,CPLD,/run/devmap/xcvrs/xcvr_ctrl_39/xcvr_reset_39,1,0,/run/devmap/xcvrs/xcvr_ctrl_39/xcvr_present_39,1,0,39,I2C,/run/devmap/xcvrs/xcvr_io_39,,,,
40,1 2 3 4 5 6 7 8,1,40,CPLD,/run/devmap/xcvrs/xcvr_ctrl_40/xcvr_reset_40,1,0,/run/devmap/xcvrs/xcvr_ctrl_40/xcvr_present_40,1,0,40,I2C,/run/devmap/xcvrs/xcvr_io_40,,,,
41,1 2 3 4 5 6 7 8,1,41,CPLD,/run/devmap/xcvrs/xcvr_ctrl_41/xcvr_reset_41,1,0,/run/devmap/xcvrs/xcvr_ctrl_41/xcvr_present_41,1,0,41,I2C,/run/devmap/xcvrs/xcvr_io_41,,,,
42,1 2 3 4 5 6 7 8,1,42,CPLD,/run/devmap/xcvrs/xcvr_ctrl_42/xcvr_reset_42,1,0,/run/devmap/xcvrs/xcvr_ctrl_42/xcvr_present_42,1,0,42,I2C,/run/devmap/xcvrs/xcvr_io_42,,,,
